Age,StudyHours,Attendance,Assignments,InternetAccess,Extracurricular,StressLevel,Motivation,ExamScore
18,3.7,61.7,0.7,Yes,Yes,Medium,High,55.3
20,8.6,61.0,69.2,Yes,Yes,Medium,Medium,78.7
20,4.7,98.0,66.1,No,Yes,High,Medium,75.5
17,9.7,80.8,3.8,Yes,Yes,Medium,High,96.5
22,1.9,77.8,36.8,Yes,No,Low,High,76.2
16,8.7,70.8,97.9,Yes,Yes,Low,Medium,100.0
21,7.8,71.4,42.1,No,No,High,Low,41.5
18,7.7,77.0,50.2,Yes,No,Low,Low,81.8
15,8.4,84.8,91.0,Yes,No,Medium,High,100.0
21,7.6,85.1,71.7,Yes,Yes,Low,High,100.0
20,6.3,58.6,58.2,Yes,No,Medium,Medium,83.1
15,1.3,75.0,79.8,Yes,Yes,Medium,Medium,69.2
15,0.3,70.6,86.4,No,Yes,Medium,Low,37.8
15,9.2,93.5,45.7,Yes,Yes,Medium,Medium,90.9
17,6.2,81.6,47.5,Yes,Yes,High,Medium,79.0
20,8.0,76.6,38.6,No,Yes,Medium,High,81.9
15,4.8,55.8,96.7,No,No,Medium,Medium,63.9
18,1.2,80.3,69.7,Yes,Yes,High,Medium,78.9
19,1.3,55.9,8.3,No,Yes,High,Medium,43.6
15,6.9,66.9,86.3,Yes,No,Medium,Medium,85.1
17,4.3,57.1,48.1,Yes,Yes,High,Medium,55.4
21,2.0,84.6,6.9,Yes,Yes,Low,Low,50.5
20,4.9,60.3,55.0,Yes,Yes,Medium,Medium,73.5
22,0.6,69.6,41.7,Yes,No,High,Low,48.1
17,5.8,94.8,87.8,Yes,Yes,Low,Low,93.8
15,2.7,60.2,20.4,Yes,Yes,Low,High,76.3
20,8.0,75.4,82.6,Yes,Yes,Medium,Medium,83.7
19,3.1,71.0,55.8,Yes,No,Medium,Medium,78.0
15,4.6,50.9,5.5,Yes,No,Medium,High,61.6
17,0.1,89.6,97.2,Yes,No,Medium,Medium,69.3
16,0.7,53.5,51.3,Yes,Yes,High,High,47.2
18,3.9,73.7,29.1,Yes,Yes,Medium,Low,53.9
22,4.8,78.0,46.9,Yes,Yes,Low,High,85.1
21,6.0,81.4,85.8,Yes,Yes,High,High,88.5
17,2.9,84.4,30.5,Yes,Yes,Low,High,92.8
20,6.9,62.7,19.3,Yes,Yes,Low,Low,82.1
22,8.6,50.5,12.9,No,Yes,Low,Medium,75.9
22,7.8,86.2,29.8,Yes,No,Medium,Low,81.6
22,0.4,76.8,78.0,Yes,Yes,Low,Medium,70.1
15,4.8,91.8,47.2,Yes,No,Low,High,73.8
18,1.0,91.1,22.7,No,Yes,Medium,Medium,47.2
15,2.4,92.2,16.6,Yes,Yes,Low,Medium,79.4
20,9.9,74.3,33.3,Yes,Yes,Medium,Medium,92.9
15,1.4,66.7,94.0,Yes,Yes,High,Medium,64.5
16,5.0,89.6,34.3,Yes,Yes,Medium,High,85.5
18,6.2,72.6,98.8,Yes,Yes,Low,High,100.0
18,7.0,59.2,48.5,Yes,No,Low,Low,85.7
20,5.6,92.7,17.9,Yes,No,High,Medium,72.6
21,0.1,94.1,89.1,Yes,Yes,Low,Medium,82.1
16,3.3,73.3,46.0,Yes,No,High,Medium,62.8
17,5.2,53.8,71.0,Yes,No,Low,High,85.2
15,0.9,69.4,98.4,Yes,No,High,High,66.4
19,3.5,90.2,5.0,Yes,No,Medium,Medium,68.4
15,0.3,95.1,9.7,No,Yes,Medium,Medium,65.0
22,0.8,60.2,72.0,Yes,Yes,Medium,Medium,68.5
15,4.0,53.3,28.2,Yes,Yes,Medium,Medium,60.0
17,1.3,93.9,18.4,Yes,Yes,Medium,Low,69.4
15,5.7,69.5,3.9,Yes,Yes,Medium,Medium,70.4
16,6.9,77.1,2.2,Yes,Yes,Medium,Low,59.9
16,8.0,98.4,77.4,Yes,No,Low,Medium,100.0
18,2.0,53.3,13.4,No,No,Low,Medium,41.6
20,1.7,82.4,46.8,Yes,No,Medium,High,80.7
21,1.0,53.7,60.6,Yes,No,Low,High,67.3
19,6.4,68.8,42.8,Yes,No,Medium,Medium,91.2
22,7.1,90.2,2.7,Yes,Yes,Low,Low,81.5
15,0.3,71.7,78.4,Yes,Yes,Medium,Medium,72.6
15,9.4,99.9,1.1,Yes,Yes,Low,Medium,92.0
17,0.5,78.0,76.2,Yes,No,Medium,Medium,83.8
20,5.4,66.1,89.3,No,Yes,Low,High,86.8
16,7.1,61.0,43.3,Yes,No,Low,Medium,96.3
19,8.7,67.5,53.6,No,Yes,Low,Medium,82.6
18,7.1,68.6,47.7,Yes,Yes,High,Medium,72.1
16,8.0,53.4,38.9,Yes,No,Low,High,80.8
22,3.4,68.5,88.7,Yes,Yes,Medium,High,90.6
20,8.1,73.2,89.4,Yes,Yes,Low,Medium,96.0
22,0.8,86.1,33.6,No,Yes,Low,Medium,65.4
21,8.9,82.8,61.5,Yes,Yes,Medium,Medium,98.9
18,5.5,85.4,92.7,Yes,No,Medium,Low,74.3
21,8.2,50.4,96.2,Yes,Yes,High,Medium,77.8
17,4.5,60.9,50.9,Yes,Yes,High,Medium,56.0
22,6.4,83.1,45.3,No,Yes,Medium,Low,63.1
17,5.3,74.2,27.9,Yes,No,Medium,Low,65.9
15,7.3,50.3,95.9,Yes,Yes,Medium,Medium,93.5
21,0.8,90.2,14.3,Yes,No,Medium,High,71.7
20,0.6,88.6,58.0,No,No,High,Medium,58.6
22,2.5,77.4,28.3,Yes,Yes,Medium,Medium,70.9
19,1.6,53.3,27.9,Yes,No,Medium,Medium,57.3
18,8.7,88.3,40.5,Yes,No,Low,Medium,96.8
16,2.2,79.2,99.9,Yes,Yes,Low,Medium,71.5
20,9.8,89.1,5.5,Yes,Yes,High,Medium,63.3
20,3.4,87.6,57.9,Yes,No,Medium,Low,69.6
17,1.8,90.2,8.3,Yes,No,Medium,Medium,81.8
21,7.9,75.9,15.5,Yes,Yes,Low,Medium,79.4
22,6.6,57.0,44.0,Yes,Yes,High,Medium,71.2
22,5.0,83.6,51.0,Yes,No,Low,High,87.1
15,5.6,81.0,25.9,Yes,No,High,Low,64.7
15,7.2,87.1,31.6,No,No,Low,Medium,82.8
18,2.3,58.5,8.7,No,Yes,High,Medium,35.2
17,10.0,59.7,30.3,Yes,No,Medium,High,89.5
20,9.7,94.5,96.7,Yes,Yes,Low,Medium,100.0
22,6.5,87.5,94.5,Yes,Yes,Medium,High,100.0
19,2.0,95.4,33.5,Yes,No,Medium,High,87.3
17,6.8,87.9,57.1,Yes,No,Low,Medium,98.2
18,0.7,79.9,91.0,Yes,Yes,High,Medium,64.2
18,0.3,82.7,0.6,Yes,Yes,Medium,Medium,65.2
17,2.6,94.5,81.1,No,No,Medium,High,70.8
18,4.6,78.9,94.8,Yes,Yes,Low,Low,89.5
17,8.7,81.6,9.1,Yes,No,Medium,Medium,82.1
16,7.3,57.8,16.1,Yes,No,High,Medium,61.1
17,7.4,73.7,96.1,Yes,Yes,Medium,Medium,92.1
21,4.3,85.8,53.8,Yes,No,High,Medium,79.9
17,3.5,63.5,1.4,Yes,No,High,Medium,39.1
18,3.7,60.1,25.8,Yes,No,Low,Low,66.4
22,9.9,65.7,45.0,Yes,No,Low,Medium,72.3
21,0.4,62.1,69.3,No,No,High,Medium,39.0
18,8.7,60.7,73.3,Yes,Yes,Medium,High,89.8
15,5.8,71.2,99.5,Yes,Yes,Low,Medium,95.5
15,4.4,95.4,28.8,Yes,No,Low,High,73.5
22,7.3,75.4,53.8,Yes,Yes,Medium,Medium,86.9
22,4.9,59.4,53.3,Yes,Yes,Medium,Low,59.5
21,8.7,53.8,40.6,Yes,No,Low,High,96.1
16,9.0,84.8,16.9,No,No,Low,Low,80.2
22,4.2,69.1,97.7,No,Yes,High,High,67.6
15,2.8,91.1,85.3,Yes,No,Medium,High,93.1
17,5.9,83.0,49.8,No,No,Medium,Medium,78.6
18,9.1,89.8,60.3,Yes,Yes,Medium,Medium,100.0
15,2.1,63.6,22.7,Yes,No,Medium,Medium,55.0
15,6.2,84.6,54.4,Yes,Yes,Medium,Medium,72.4
16,6.3,63.2,69.5,Yes,Yes,Medium,Medium,66.8
21,7.3,97.0,51.5,Yes,Yes,Low,Medium,100.0
21,1.3,81.8,99.0,Yes,Yes,Medium,Medium,89.6
20,7.2,66.2,61.1,Yes,Yes,Medium,Low,71.6
16,9.1,63.5,37.1,Yes,No,High,High,81.6
17,1.8,59.5,77.2,Yes,No,Medium,High,74.0
21,2.4,84.7,17.0,No,Yes,High,Medium,44.7
18,9.7,60.9,38.5,Yes,No,High,High,79.2
22,1.8,79.8,34.7,Yes,Yes,Low,Medium,72.6
16,8.5,63.2,43.2,Yes,Yes,Medium,Low,57.5
22,4.9,83.1,78.2,Yes,No,Medium,Medium,75.9
15,2.5,90.7,48.4,Yes,Yes,High,Medium,63.2
18,8.7,88.9,79.4,Yes,Yes,Medium,Medium,100.0
18,4.5,88.0,57.6,Yes,No,Medium,High,73.1
15,5.1,59.4,34.2,Yes,Yes,Medium,High,81.1
16,3.6,54.4,81.0,Yes,No,Low,Medium,79.9
15,5.9,84.9,23.8,Yes,Yes,Low,High,95.8
22,1.6,68.4,22.4,Yes,Yes,Medium,Low,62.6
20,3.9,71.6,50.5,Yes,Yes,Medium,Low,66.9
18,9.7,51.6,26.1,No,Yes,Medium,High,76.3
19,2.6,63.0,0.9,Yes,Yes,Medium,Medium,53.1
19,6.6,51.7,64.8,Yes,Yes,Low,Medium,68.2
22,3.3,94.0,51.1,Yes,No,Medium,Medium,78.2
17,7.7,62.2,44.6,Yes,No,Low,Medium,74.0
21,1.3,77.9,96.7,No,Yes,High,Low,52.9
15,9.7,51.9,57.1,Yes,Yes,High,Medium,81.5
15,4.5,83.3,86.3,Yes,Yes,Medium,Low,77.7
17,2.4,66.2,13.9,Yes,No,Low,Low,67.1
17,0.7,94.9,56.9,Yes,No,Low,Medium,72.3
22,1.7,94.4,86.8,Yes,Yes,Medium,Medium,83.5
22,5.2,66.3,58.3,Yes,No,Medium,High,85.6
17,3.4,95.0,71.8,Yes,Yes,Medium,Low,75.8
18,8.3,99.8,37.2,Yes,Yes,Low,Low,90.7
22,4.3,91.3,9.2,Yes,Yes,Medium,Medium,89.0
20,2.5,92.2,45.8,No,Yes,Medium,Medium,76.0
22,6.2,62.5,39.4,Yes,Yes,Medium,Low,66.4
15,7.1,78.8,86.7,Yes,Yes,Medium,Low,96.3
22,1.7,53.4,24.4,Yes,No,Low,High,58.0
18,1.7,54.7,96.7,Yes,Yes,Medium,Medium,55.7
17,0.4,99.9,95.8,Yes,Yes,High,Medium,79.9
15,7.4,66.3,24.8,Yes,Yes,Medium,Medium,69.7
22,6.6,87.4,34.8,Yes,Yes,High,Medium,72.9
18,4.7,90.3,89.6,Yes,Yes,Medium,Medium,92.1
20,8.4,92.9,96.7,Yes,Yes,Low,Medium,95.4
22,8.1,99.9,44.3,No,Yes,Medium,High,81.1
18,5.9,62.1,32.1,Yes,Yes,Medium,Low,62.6
20,8.7,52.0,52.6,Yes,Yes,Medium,High,86.2
17,2.1,70.6,68.8,Yes,Yes,Low,Low,82.1
22,1.1,56.5,27.3,Yes,No,Medium,Medium,46.3
20,2.7,51.1,73.6,Yes,No,Low,Low,63.2
15,0.6,68.0,5.2,Yes,Yes,Low,Low,60.6
17,5.3,89.2,4.9,Yes,Yes,Medium,High,68.1
15,9.4,78.3,38.6,Yes,Yes,Medium,Medium,88.7
19,0.4,65.6,35.3,Yes,Yes,High,Low,48.1
16,1.2,82.7,31.6,Yes,Yes,Medium,High,75.7
22,4.5,61.6,49.1,Yes,Yes,Medium,High,82.9
20,9.3,50.7,32.1,Yes,Yes,Medium,High,86.2
16,3.2,88.2,19.2,Yes,No,Medium,High,77.6
16,5.1,81.2,30.9,Yes,Yes,Low,Medium,82.9
20,0.4,88.1,97.5,Yes,Yes,High,High,83.3
17,1.5,51.9,41.1,Yes,Yes,Medium,Medium,53.2
22,9.9,91.9,44.5,Yes,No,High,High,99.6
19,9.7,81.0,57.7,Yes,No,Medium,High,93.2
15,0.0,78.2,98.3,Yes,Yes,Low,Medium,80.4
18,9.5,81.2,24.2,Yes,No,Medium,High,99.1
15,6.4,93.2,68.1,Yes,Yes,Low,Medium,88.6
18,8.7,79.3,71.6,Yes,No,Medium,Medium,82.3
15,4.5,79.0,60.7,Yes,No,Low,Low,82.3
20,5.2,99.5,8.9,Yes,Yes,Medium,High,100.0
19,4.9,87.8,67.7,Yes,No,High,Medium,72.5
22,6.7,72.1,6.4,Yes,Yes,Medium,Medium,81.5
18,1.4,85.4,59.6,Yes,Yes,High,Medium,52.3
22,0.3,69.5,74.0,No,Yes,Medium,High,69.6
22,3.1,61.4,21.1,Yes,No,Medium,Medium,68.7
22,7.0,79.8,84.2,Yes,Yes,High,High,76.8
21,2.0,96.4,3.0,Yes,Yes,High,High,60.7
17,6.7,96.5,84.4,Yes,No,Medium,Medium,91.4
15,9.7,67.1,46.0,Yes,Yes,Low,Medium,75.2
